PassengerId,Survived,Pclass,Sex,Age,Fare
1,1,3,female,48.5,33.8
2,1,3,male,31.3,17.54
3,1,3,male,41.8,17.71
4,0,1,female,22.5,38.68
5,0,2,female,19.2,0.48
6,0,3,male,40.3,12.52
7,0,3,male,35.9,51.23
8,0,3,male,33.2,27.73
9,0,1,female,24.7,12.34
10,1,3,male,52.2,70.78
11,1,2,male,13.5,44.43
12,0,3,female,12.7,9.23
13,0,3,male,43.4,31.09
14,0,3,male,42.2,27.17
15,1,3,male,34.8,15.38
16,1,3,female,25.5,13.72
17,0,3,female,37.0,12.63
18,1,3,female,54.7,28.8
19,0,1,female,66.2,17.52
20,0,3,female,5.7,53.49
21,0,3,female,23.6,33.22
22,0,3,female,22.7,2.17
23,1,3,male,53.3,30.66
24,1,3,male,0.0,9.49
25,0,3,female,37.2,26.95
26,1,2,male,26.0,34.2
27,1,2,male,53.5,7.87
28,1,3,female,51.5,18.31
29,0,2,male,35.0,6.33
30,0,3,male,6.8,1.61
31,0,3,male,21.4,14.27
32,0,1,male,23.0,13.53
33,0,1,male,10.5,161.98
34,1,2,female,46.4,17.74
35,0,3,female,8.6,12.17
36,0,3,female,58.2,26.06
37,0,1,male,58.2,2.79
38,0,3,female,24.1,97.84
39,0,3,male,34.5,30.23
40,0,1,male,28.7,42.18
41,0,3,male,42.8,5.61
42,0,3,male,48.2,15.8
43,0,2,female,33.4,16.48
44,0,1,female,36.5,51.75
45,0,1,male,20.7,0.04
46,0,1,female,36.0,10.74
47,0,3,male,32.1,119.28
48,1,3,female,16.5,19.32
49,0,1,female,29.5,14.46
50,0,2,male,24.1,3.83
51,1,1,female,20.9,109.68
52,0,1,male,13.1,0.61
53,1,3,female,30.6,40.09
54,0,2,male,18.4,43.91
55,0,2,male,22.9,8.38
56,0,2,female,45.3,33.4
57,1,3,female,38.9,2.93
58,0,2,male,15.5,8.91
59,1,3,female,34.8,46.52
60,0,2,female,31.6,60.0
61,1,3,male,54.4,28.13
62,0,3,male,49.8,21.21
63,1,1,female,7.5,5.21
64,0,3,male,42.2,1.96
65,0,3,male,48.0,3.75
66,0,3,male,37.8,7.74
67,0,3,female,24.8,12.54
68,0,3,female,64.7,14.39
69,0,3,male,39.1,12.75
70,1,3,female,58.4,8.2
71,0,1,male,49.3,21.38
72,1,3,female,36.4,52.34
73,1,2,male,21.3,9.84
74,0,3,male,29.4,85.62
75,1,1,female,26.5,61.99
76,1,1,male,12.1,5.29
77,0,2,female,39.1,46.29
78,0,3,female,52.4,25.64
79,0,2,male,25.4,25.08
80,0,2,male,61.1,14.88
81,0,2,female,7.1,20.86
82,0,3,male,45.0,15.18
83,1,3,male,53.9,23.28
84,1,3,male,26.7,29.66
85,0,3,male,27.0,33.65
86,0,3,male,44.8,22.81
87,0,3,female,37.0,38.34
88,0,1,female,0.7,4.57
89,0,2,male,17.5,7.15
90,1,2,male,29.5,51.23
91,0,2,male,9.8,11.68
92,1,3,female,22.8,0.69
93,1,3,male,10.2,5.01
